Subcellular location ID	Name	Category	Gene Ontologies	Is a	Description	Keyword	Synonyms	Links	References	Note	Content	Is part of	Statistics
SL-0002	Acidocalcisome	Cellular component	GO:0020022:acidocalcisome		The acidocalcisome is an electron-dense acidic organelle which contains a matrix of pyrophosphate and polyphosphates with bound calcium and other cations. Its limiting membrane possesses a number of pumps and exchangers for the uptake and release of these elements. The acidocalcisome does not belong to the endocytic pathway and may represent a branch of the secretory pathway in trypanosomatids and apicomplexan parasites. The acidocalcisome is possibly involved in polyphosphate and cation storage and in adaptation of these microoganisms to environmental stress.				PubMed=15738951,  DOI=10.1038/nrmicro1097		Acidocalcisome		reviewed:4; annotated:0
SL-0003	Acidocalcisome membrane	Cellular component	GO:0033102:acidocalcisome membrane	SL-0162; Membrane; LOCATION	The membrane of an acidocalcisome.		Acidocalcisomal membrane				Acidocalcisome membrane	SL-0002; Acidocalcisome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:4; annotated:0
SL-0004	Acrosome inner membrane	Cellular component	GO:0002079:inner acrosomal membrane		The portion of the acrosomal membrane closely associated with the anterior region of the nuclear envelope.		Acrosomal inner membrane, IAM, Inner acrosomal membrane				Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane	SL-0006; Acrosome membrane; LOCATION	reviewed:24; annotated:619
SL-0005	Acrosome lumen	Cellular component	GO:0043160:acrosomal lumen	SL-0347; Secretory vesicle lumen; LOCATION	The lumen of the acrosome.		Acrosomal lumen				Cytoplasmic vesicle, secretory vesicle, acrosome lumen	SL-0007; Acrosome; LOCATION	reviewed:15; annotated:0
SL-0006	Acrosome membrane	Cellular component	GO:0002080:acrosomal membrane	SL-0245; Secretory vesicle membrane; LOCATION	The membrane of the acrosome.		Acrosomal membrane				Cytoplasmic vesicle, secretory vesicle, acrosome membrane	SL-0007; Acrosome; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:94; annotated:1309
SL-0007	Acrosome	Cellular component	GO:0001669:acrosomal vesicle	SL-0244; Secretory vesicle; LOCATION	The acrosome is a large lysosome-like vesicle overlying the sperm nucleus. This spermatid specific organelle, derived from the Golgi during spermatogenesis, contains both unique acrosomal enzymes and common enzymes associated with lysosomes in somatic cells. Only sperm that have undergone the acrosome reaction can fuse with egg plasma membrane. The acrosome reaction is characterized by multiple fusions of the outer acrosomal membrane with the sperm cell membrane.		Acrosomal vesicle				Cytoplasmic vesicle, secretory vesicle, acrosome		reviewed:351; annotated:7218
SL-0008	Actin patch	Cellular component	GO:0030479:actin cortical patch		The actin patch is a highly dynamic actin structure in fungi required primarily for endocytosis but possibly also coupled to exocytosis. Actin patches are highly motile, they first assemble at sites of polarized cell growth and then move slowly and nondirectionally along the cell cortex.		Actin cortical patch			The actin patch is a specialised structure which is specific to fungi so this term should be used only for fungal species.	Cytoplasm, cytoskeleton, actin patch	SL-0090; Cytoskeleton; LOCATION	reviewed:168; annotated:9291
SL-0009	Adherens junction	Cellular component	GO:0005912:adherens junction	SL-0038; Cell junction; LOCATION	The adherens junction is an adhesion complex that localizes close to the apical membrane in epithelial cells. These junctions join the actin cytoskeleton to the plasma membrane to form adhesive contacts between cells or between cells and extracellular matrix. AJs mediate both cell adhesion and signaling.		AJ, ZA, Zonula adherens			Add "Cell membrane" if the protein is clearly associated with the membrane.	Cell junction, adherens junction		reviewed:346; annotated:28131
SL-0010	Aleurone grain	Cellular component	GO:0033095:aleurone grain	SL-0272; Vacuole; LOCATION	The aleurone grain (protein body), is a specialized dry vacuole where storage proteins accumulate in a stable form in seeds, usually in the endosperm. Cells containing aleurones form the aleurone layer. These act as a source of amino acids for various synthetic activities during germination, but also represent immensely important nutritional sources for humans and ruminants. In most seeds, the aleuron grains contain three morphologically distinct regions: the matrix, crystalloid, and globoid.		Protein body				Vacuole, aleurone grain		reviewed:52; annotated:246
SL-0011	Aleurone grain membrane	Cellular component	GO:0032578:aleurone grain membrane	SL-0271; Vacuole membrane; LOCATION	The membrane of an aleurone grain.		Protein body membrane				Vacuole, aleurone grain membrane	SL-0010; Aleurone grain; LOCATION	reviewed:9; annotated:0
SL-0012	Amyloplast	Cellular component	GO:0009501:amyloplast	SL-0209; Plastid; LOCATION	The amyloplast is a colorless plant plastid that forms and stores starch. Amyloplasts are found in many tissues, particularly in storage tissues. They are found in both photosynthetic and parasitic plants, i.e. even in plants that are not capable of photosynthesis. Many amyloplast proteins are also expressed in photosynthetic tissue.	KW-0035					Plastid, amyloplast		reviewed:88; annotated:5379
SL-0013	Amyloplast inner membrane	Cellular component	GO:0033098:amyloplast inner membrane	SL-0014; Amyloplast membrane; LOCATION, SL-0211; Plastid inner membrane; LOCATION	The inner membrane of an amyloplast.		Inner amyloplastic membrane				Plastid, amyloplast inner membrane		reviewed:1; annotated:0
SL-0014	Amyloplast membrane	Cellular component	GO:0033097:amyloplast membrane	SL-0213; Plastid membrane; LOCATION	The membrane surrounding the amyloplast. Also used when it is not clear in which amyloplast membrane a protein is found.						Plastid, amyloplast membrane	SL-0012; Amyloplast; LOCATION	reviewed:3; annotated:0
SL-0015	Apical cell membrane	Cellular component	GO:0016324:apical plasma membrane		The fraction of the cell membrane at the apical end of the cell, which faces the outside world or the lumen of the cavity.		Apical plasma membrane				Apical cell membrane	SL-0039; Cell membrane; LOCATION	reviewed:1198; annotated:62806
SL-0016	Apical lamina	Cellular component	GO:0032579:apical lamina of hyaline layer	SL-0111; Extracellular matrix; LOCATION	In the sea urchin embryos the apical lamina is a fibrous meshwork that remains after removal of hyalin from the hyalin layer.						Secreted, extracellular space, extracellular matrix, apical lamina		reviewed:1; annotated:0
SL-0017	Apicolateral cell membrane	Cellular component	GO:0016327:apicolateral plasma membrane		The fraction of the cell membrane at the apical end of the lateral plasma membrane of the cell.		Apicolateral plasma membrane				Apicolateral cell membrane	SL-0039; Cell membrane; LOCATION	reviewed:28; annotated:1273
SL-0018	Apicoplast	Cellular component	GO:0020011:apicoplast	SL-0209; Plastid; LOCATION	The apicoplast is a plastid found in some apicocomplexan parasites which is a non-photosynthetic plastid relict. Apicoplasts do not contain thylakoids; it is not yet clear if they contain internal membranes.	KW-0933	Golgi-adjunct organelle, Thick-walled organelle				Plastid, apicoplast		reviewed:60; annotated:522
SL-0019	Apoplast	Cellular component	GO:0048046:apoplast	SL-0112; Extracellular space; LOCATION	The apoplast is the "non-living" extracellular space that surrounds the symplast. It consists of cell walls and spaces between cells. Water and solutes can move freely in this framework, except at the endodermis in roots and stems where the apoplastic flow of ions is interrupted by the Casparian strip, forcing water to flow to symplast.	KW-0052					Secreted, extracellular space, apoplast		reviewed:422; annotated:61288
SL-0020	Attachment organelle	Cellular component	GO:0033099:attachment organelle	SL-0280; Cell projection; LOCATION	The attachment organelle is a multifunctional polar structure found in several Mycoplasma species. This large and complex cell extension, whose predicted mass is greater than that of a vertebrate nuclear pore complex, is essential for adherence to host cells, is involved in gliding motility, and is associated with cell division.		Terminal organelle				Cell projection, attachment organelle		reviewed:12; annotated:0
SL-0021	Attachment organelle membrane	Cellular component	GO:0033111:attachment organelle membrane		The membrane surrounding the attachment organelle.		Terminal organelle membrane				Cell projection, attachment organelle membrane	SL-0020; Attachment organelle; LOCATION, SL-0039; Cell membrane; LOCATION	reviewed:9; annotated:0
SL-0022	Autophagosome membrane	Cellular component	GO:0000421:autophagosome membrane	SL-0089; Cytoplasmic vesicle membrane; LOCATION	The membrane surrounding the autophagosome.		Autophagic vacuolar membrane, Autophagic vacuole membrane, Autophagosomal membrane				Cytoplasmic vesicle, autophagosome membrane	SL-0023; Autophagosome; LOCATION	reviewed:194; annotated:9047
SL-0023	Autophagosome	Cellular component	GO:0005776:autophagosome	SL-0088; Cytoplasmic vesicle; LOCATION	The autophagosome is a double membrane vesicle involved in the degradation of long-lived proteins, unnecessary or damaged organelles as well as other cellular constituents such as lipids or carbohydrates. Crescent-shape isolation membranes or phagophores can sequester cytoplasm and organelles giving rise to autophagosomes. The outer membrane of the autophagosomes then fuse with vacuoles and/or lysosomes and the inner membrane vesicles (termed autophagic bodies) are released into the vacuole/lysosome lumen. These vesicles are then lysed and the contents are degraded by resident hydrolases.		Autophagic vacuole				Cytoplasmic vesicle, autophagosome		reviewed:407; annotated:24144
SL-0024	Basal cell membrane	Cellular component	GO:0009925:basal plasma membrane		The basal cell membrane is the fraction of the plasma membrane at the basal side of the cell, which faces the underlying connective tissue.		Basal plasma membrane				Basal cell membrane	SL-0039; Cell membrane; LOCATION	reviewed:93; annotated:860
SL-0025	Basement membrane	Cellular component	GO:0005604:basement membrane	SL-0111; Extracellular matrix; LOCATION	The basement membrane is a highly specialized extracellular matrix structure undelying the basal surface of cells exhibiting polarity (epithelial, endothelial and mesothelial cells) and surrounding certain cell types such as muscle, adipose and Schwann cells.	KW-0084					Secreted, extracellular space, extracellular matrix, basement membrane		reviewed:162; annotated:31376
SL-0026	Basolateral cell membrane	Cellular component	GO:0016323:basolateral plasma membrane		The basolateral cell membrane is the fraction of the plasma membrane at the basolateral side of the cell, which faces adjacent cells and the underlying connective tissue.		Basolateral plasma membrane				Basolateral cell membrane	SL-0039; Cell membrane; LOCATION	reviewed:656; annotated:45902
SL-0027	Bud	Cellular component	GO:0005933:cellular bud		A growing bud is an asexual reproductive structure, as in yeast or a hydra, that consists of an outgrowth capable of developing into a new individual.		Growing bud				Bud		reviewed:168; annotated:2579
SL-0028	Bud membrane	Cellular component	GO:0033101:cellular bud membrane		The membrane surrounding a bud.		Cellular bud membrane				Bud membrane	SL-0027; Bud; LOCATION, SL-0039; Cell membrane; LOCATION	reviewed:13; annotated:0
SL-0029	Bud neck	Cellular component	GO:0005935:cellular bud neck		The bud neck is a constriction between the mother and the daughter cell (bud) in an organism that reproduces by budding. This structure comprises the septin ring, an hourglass-shaped collar around the mother-bud neck, which splits into two rings flanking the division plane at cytokinesis and that acts as a diffusion barrier to maintain polarity factors in the bud and as a scaffold to recruit actomyosin contractile ring components.		Cellular bud neck				Bud neck	SL-0027; Bud; LOCATION	reviewed:142; annotated:2579
SL-0030	Bud tip	Cellular component	GO:0005934:cellular bud tip		The bud tip is the distal tip of the bud opposite to the site of attachment to the mother cell.		Cellular bud tip				Bud tip	SL-0027; Bud; LOCATION	reviewed:40; annotated:0
SL-0031	Cajal body	Cellular component	GO:0015030:Cajal body	SL-0494; Nuclear body; LOCATION	The nuclear Cajal bodies (CBs) are small subnuclear membraneless organelles present either free in the nucleoplasm and/or physically associated to specific regions of chromatin. CBs contain newly assembled small nuclear ribonucleoproteins (snRNPs) and small nucleolar ribonucleoproteins (snoRNPs) particles, which are involved in pre-mRNA splicing and in ribosomal RNA processing, respectively. Mammalian nucleus in interphase, show 2-6 CBs, as irregular, punctuate structures, which vary in size and shape and which are often juxtaposed to nucleoli. At the electronic-microscope level, they are composed of heterogeneous mixture of electro-dense particles with diameters ranging from 20-25 nm and are called coiled body. Structures similar to CBs have been identified in the amphibian oocyte nucleus (called sphere organelles) and in insect (called endobodies). CBs are motile and dynamic structures. Both their protein and RNA-protein components can cycle continuously between CBs and other nuclear locations depending on the transcriptional state of the cell.		Cajal bodies, Coiled body, Endobodies, Nucleolar accessory bodies, Sphere organelles				Nucleus, Cajal body	SL-0191; Nucleus; LOCATION	reviewed:154; annotated:9436
SL-0032	Calyx	Cellular component	GO:0033150:cytoskeletal calyx		The calyx is a large cytoskeletal component of the perinuclear theca of the mammalian sperm head.		Calyces, Cytoskeletal calyx				Cytoplasm, cytoskeleton, perinuclear theca, calyx	SL-0199; Perinuclear theca; LOCATION	reviewed:12; annotated:356
SL-0033	Capsule	Cellular component	GO:0042603:capsule		The capsule is a protective structure surrounding some bacteria or fungi. The bacterial capsule is a layer of material, usually polysaccharide, attached to the cell wall possibly via covalent attachments to either phospholipid or lipid-A molecules. It has several functions: promote bacterial adhesion to surfaces or interaction with other organisms; act as a permeability barrier, as a defense mechanism against phagocytosis and/or as a nutrient reserve. Among pathogens, capsule formation often correlates with pathogenicity. The fungal capsule is an extracellular layer which lies outside the cell wall and it is usually composed of polysaccharides. It protects the cell from different environmental dangers such as phagocytosis, dessication, etc.						Secreted, capsule	SL-0036; Cell envelope; LOCATION, SL-0243; Secreted; LOCATION	reviewed:20; annotated:9238
SL-0034	Carboxysome	Cellular component	GO:0031470:carboxysome	SL-0544; Bacterial microcompartment; LOCATION	Carboxysomes are bacterial microcompartments in which ribulose bisphosphate carboxylase (RuBisCO)-mediated CO(2) fixation occurs. The cytoplasmic polyhedral inclusion bodies are surrounded by a thin protein coat. They enhance autotrophic CO(2) fixation in air by increasing the CO(2) concentration around RuBisCO, thus reducing its reaction with O(2), a competing substrate. They contain carbonic anhydrase as part of the CO(2) concentration mechanism.	KW-1282					Carboxysome		reviewed:127; annotated:9075
SL-0035	Caveola	Cellular component	GO:0005901:caveola		The caveola is a small (apparently) uncoated pit mostly found in the cell membrane of many highly differentiated mammalian cells, such as adipocytes, endothelial cells and muscle cells. These flask-shaped invaginations are defined by the presence of caveolins and contains a subset of lipid-raft components, including cholesterol and sphingolipids. Caveolae each comprise a caveolar bulb with a diameter of 60-80 nm, connected to an opening of fairly constant diameter. Caveolae might exists as single pits or can form a cluster of caveolae with non-caveolar membrane between the pits. In many tissues, and particularly in adipocytes, multiple caveolae are arranged around a central vacuolar domain. In developing muscle fibres, multiple caveolae are connected by a single neck to the cell membrane, producing large chains of interconnected caveolae. Another structural feature of caveolae in certain endothelia is the presence of a stomatal diaphragm, which consists of a central density and radial spikes, in the neck of the caveolae. Mature caveolae might be assembled in the Golgi apparatus. Caveolae can flatten out into the cell membrane, thereby loosing their caveolar identity.		Caveolae, Membrane microdomain, Plasmalemmal vesicle		PubMed=17318224,  DOI=10.1038/nrm2122		Membrane, caveola	SL-0147; Endomembrane system; LOCATION	reviewed:232; annotated:18831
SL-0036	Cell envelope	Cellular component	GO:0030313:cell envelope		The cell envelope comprises the cell membrane, the cell wall and an outer membrane if present. In bacteria with 1 membrane (Gram-positive) the cell envelope consists of the cytoplasmic membrane, cell wall and capsule. In bacteria with 2 membranes (Gram-negative) the envelope consists of the cytoplasmic membrane, cell wall, periplasmic space, outer membrane and capsule. The archaeal cell envelope generally consists of single membrane covered by a surface layer (S-layer). Ignicoccus species exceptionally have an outer membrane which encloses a large periplasmic space. Extreme thermophiles and acidophiles have tetraether type glycerophospholipids with C40 isoprenoid chains. The yeast cell envelope is a protecting capsule which consists of the cytoplasmic membrane, the periplasmic space, and the cell wall.		Envelope	http://www.cf.ac.uk/biosi/staff/ehrmann/tools/ecce/ecce.htm		Try to use a child/narrower/more specific term instead	Cell envelope		reviewed:69505; annotated:17255750
SL-0037	Cell inner membrane	Cellular component	GO:0005886:plasma membrane	SL-0039; Cell membrane; LOCATION	The prokaryotic inner cell membrane is the selectively permeable membrane which separates the cytoplasm from the periplasm in prokaryotes with 2 membranes.	KW-0997	Cytoplasmic membrane, Inner membrane, Plasma membrane				Cell inner membrane		reviewed:27481; annotated:2423578
SL-0038	Cell junction	Cellular component	GO:0070161:anchoring junction		The cell junction is a cell-cell or cell-extracellular matrix contact within a tissue of a multicellular organism, especially abundant in epithelia. In vertebrates, there are three major types of cell junctions: anchoring junctions (e.g. adherens junctions), communicating junctions (e.g. gap junctions) and occluding junctions (e.g. tight junctions).	KW-0965		https://www.ncbi.nlm.nih.gov/books/NBK26857/		Add "Cell membrane" if the protein is clearly associated with the membrane.	Cell junction		reviewed:1783; annotated:213990
SL-0039	Cell membrane	Cellular component	GO:0005886:plasma membrane	SL-0162; Membrane; LOCATION	The cell membrane is the selectively permeable membrane which separates the cytoplasm from its surroundings. Known as the cell inner membrane in prokaryotes with 2 membranes.	KW-1003	Cytoplasmic membrane, Plasmalemma, Plasma membrane				Cell membrane	SL-0036; Cell envelope; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:64881; annotated:15858093
SL-0040	Cell outer membrane	Cellular component	GO:0009279:cell outer membrane	SL-0162; Membrane; LOCATION	The prokaryotic outer cell membrane is the selectively permeable membrane which separates the prokaryotic periplasm from its cell surroundings. Traditionally only Gram-negative bacteria were thought of as having an outer membrane, but recent work has shown some Actinobacteria, including Mycobacterium tuberculosis, as well as at least 1 archaea (Ignicoccus hospitalis) have a cell outer membrane.	KW-0998	Outer membrane				Cell outer membrane		reviewed:2359; annotated:1288115
SL-0041	Cell wall	Cellular component	GO:0005618:cell wall		The complex and rigid layer surrounding the cell. Cell walls are found in bacteria, archaea, fungi, plants, and algae. The cell wall envelopes the inner or plasma membrane in all bacteria and is surrounded by the outer membrane in bacteria with 2 membranes (Gram- negative). Bacterial cell walls contain peptidoglycan while those of archaea are not made of peptidoglycan, but some archaea may contain pseudopeptidoglycan, which is composed of N-acetyltalosaminuronic acid, instead of N-acetyl muramic acid in peptidoglycan. The plant cell wall is made of fibrils of cellulose embedded in a matrix of several other kinds of polymers such as pectin and lignin. Algal cell walls are usually composed of cellulose, glycoproteins, sporopollenin, calcium and various polysaccharides such as manosyl, xylanes, alginic acid. Diatom cell walls (or frustules) contain silica. The cell wall plays a role in cell shape, cell stability and development, and protection against environmental dangers.	KW-0134					Secreted, cell wall	SL-0036; Cell envelope; LOCATION, SL-0243; Secreted; LOCATION	reviewed:1595; annotated:140503
SL-0042	Cellular chromatophore membrane	Cellular component	GO:0042717:plasma membrane-derived chromatophore membrane	SL-0162; Membrane; LOCATION	The cellular chromatophore membrane is the plasma-membrane derived internal, photosynthetic membrane found in the cytoplasm in purple photosynthetic bacteria. They contain the reaction centers, antennae complexes, cytochrome bc1 complex and the F(0)F(1)-ATPase.		Chromatophore membrane				Cellular chromatophore membrane	SL-0147; Endomembrane system; LOCATION	reviewed:59; annotated:1868
SL-0043	Cellular thylakoid	Cellular component	GO:0030075:bacterial thylakoid	SL-0450; Thylakoid; LOCATION	A bacterial thylakoid membrane usually formed by extensive invaginations of the cell inner (plasma) membrane. In cyanobacteria thylakoids house the photosynthetic machinery and pigments. In Synechocystis sp. strain PCC 6803 the thylakoid membranes are physically discontinuous from the plasma membrane, and thus represent bona fide intracellular organelles.		Bacterial thylakoid				Cellular thylakoid		reviewed:2301; annotated:138656
SL-0044	Cellular thylakoid lumen	Cellular component	GO:0031979:plasma membrane-derived thylakoid lumen		The lumen of the cellular thylakoid.						Cellular thylakoid lumen	SL-0043; Cellular thylakoid; LOCATION	reviewed:32; annotated:2215
SL-0045	Cellular thylakoid membrane	Cellular component	GO:0031676:plasma membrane-derived thylakoid membrane	SL-0162; Membrane; LOCATION	The membrane of the cellular thylakoid.						Cellular thylakoid membrane	SL-0043; Cellular thylakoid; LOCATION, SL-0147; Endomembrane system; LOCATION	reviewed:2269; annotated:136441
SL-0046	Centriole	Cellular component	GO:0005814:centriole		The centriole is a barrel-shaped microtubule-based structure. A pair of centrioles, embedded in the so-called pericentriolar material, constitute the centrosome, a microtubule organizing center of an eukaryotic cell. Centrioles are barrel-shaped microtubule-based structures organized in a 9-fold radial symmetry. Centriolar microtubule arrays usually consist of triplet microtubules, although doublets or singlets are present in some species. Centrioles are structurally related to (and often interconvertible with) basal bodies, the organelles required for the assembly of a cilium or flagellum.						Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole	SL-0048; Centrosome; LOCATION	reviewed:493; annotated:41266
SL-0047	Centromere	Cellular component	GO:0000775:chromosome, centromeric region		The centromere is a region of replicated eukaryotic chromosomes where the two chromatids are joined together.	KW-0137	Chromosome, pericentric region				Chromosome, centromere	SL-0468; Chromosome; LOCATION	reviewed:1040; annotated:99426
SL-0048	Centrosome	Cellular component	GO:0005813:centrosome		The centrosome is a microtubule organizing center (MTOC) responsible for the nucleation and organisation of  microtubules. It is composed of two orthogonally arranged centrioles, each one having a barrel shaped microtubule structure, and their surrounding pericentriolar material (PCM).						Cytoplasm, cytoskeleton, microtubule organizing center, centrosome	SL-0484; Microtubule organizing center; LOCATION	reviewed:2086; annotated:155283
SL-0049	Chloroplast	Cellular component	GO:0009507:chloroplast	SL-0209; Plastid; LOCATION	The most common form of plastid, the chloroplast is a photosynthetic organelle found in all photosynthetic eukaryotes except glaucocystophyte algae (where it is called a cyanelle) and Paulinella species (where it is called an organellar chromatophore). In green (photosynthetic) tissue they house the machinery necessary for pigment biosynthesis, amino acid synthesis, lipid metabolism etc, as well as the machinery for photosynthesis and CO(2) fixation. They are surrounded by between 2 and 4 membranes and contain thylakoids in green tissue.	KW-0150					Plastid, chloroplast		reviewed:15416; annotated:1376748
SL-0050	Chloroplast envelope	Cellular component	GO:0009941:chloroplast envelope	SL-0210; Plastid envelope; LOCATION	The envelope of a chloroplast comprises the inner and outer chloroplast membrane including the intermembrane space.		Chloroplastic envelope				Plastid, chloroplast envelope	SL-0049; Chloroplast; LOCATION	reviewed:721; annotated:63966
SL-0051	Chloroplast inner membrane	Cellular component	GO:0009706:chloroplast inner membrane	SL-0053; Chloroplast membrane; LOCATION, SL-0211; Plastid inner membrane; LOCATION	The inner membrane of a chloroplast is the membrane which separates the chloroplast stroma from the intermembrane space.		Chloroplastic inner membrane				Plastid, chloroplast inner membrane		reviewed:281; annotated:31957
SL-0052	Chloroplast intermembrane space	Cellular component	GO:0031972:chloroplast intermembrane space	SL-0212; Plastid intermembrane space; LOCATION	The intermembrane space between the inner and the outer chloroplast membranes.		Chloroplastic intermembrane space				Plastid, chloroplast intermembrane space	SL-0050; Chloroplast envelope; LOCATION	reviewed:6; annotated:0
SL-0053	Chloroplast membrane	Cellular component	GO:0031969:chloroplast membrane	SL-0213; Plastid membrane; LOCATION	The membrane surrounding a chloroplast. Also used when it is not clear in which chloroplast membrane (outer membrane, inner membrane or thylakoid) a protein is found.		Chloroplastic membrane				Plastid, chloroplast membrane	SL-0050; Chloroplast envelope; LOCATION	reviewed:691; annotated:58958
SL-0054	Chloroplast outer membrane	Cellular component	GO:0009707:chloroplast outer membrane	SL-0053; Chloroplast membrane; LOCATION, SL-0214; Plastid outer membrane; LOCATION	The outer membrane of a chloroplast is the chloroplast membrane facing the cytoplasm.		Chloroplastic outer membrane				Plastid, chloroplast outer membrane		reviewed:87; annotated:9310
SL-0055	Chloroplast stroma	Cellular component	GO:0009570:chloroplast stroma	SL-0215; Plastid stroma; LOCATION	The internal space enclosed by the chloroplast double membrane but excluding the thylakoid space. This space, filled with a colorless hydrophilic matrix, contains DNA, ribosomes and some temporary products of photosynthesis.		Chloroplastic stroma				Plastid, chloroplast stroma	SL-0049; Chloroplast; LOCATION	reviewed:691; annotated:43125
SL-0056	Chloroplast thylakoid	Cellular component	GO:0009534:chloroplast thylakoid	SL-0278; Plastid thylakoid; LOCATION	The thylakoid of a chloroplast is an internal system of interconnected membranes, that carry out the light reactions of photosynthesis. They are arranged into stacked and unstacked regions called grana and stroma thylakoids, respectively, that are differentially enriched in photosystem I and II complexes. Although extensive, the thylakoid network in an individual chloroplast is thought to comprise a single lumenal compartment.						Plastid, chloroplast thylakoid	SL-0049; Chloroplast; LOCATION	reviewed:6551; annotated:588050
SL-0057	Chloroplast thylakoid lumen	Cellular component	GO:0009543:chloroplast thylakoid lumen	SL-0309; Plastid thylakoid lumen; LOCATION	The chloroplast thylakoid lumen is the chloroplast compartment bounded by the thylakoid membranes.						Plastid, chloroplast thylakoid lumen	SL-0056; Chloroplast thylakoid; LOCATION	reviewed:118; annotated:1984
SL-0058	Chloroplast thylakoid membrane	Cellular component	GO:0009535:chloroplast thylakoid membrane	SL-0216; Plastid thylakoid membrane; LOCATION	The thylakoid membranes of a chloroplast is an internal system of interconnected membranes, that carry out the light reactions of photosynthesis. They are arranged into stacked and unstacked regions called grana and stroma thylakoids, respectively, that are differentially enriched in photosystem I and II complexes. Although extensive, the thylakoid network in an individual chloroplast is thought to comprise a single lumenal compartment.						Plastid, chloroplast thylakoid membrane	SL-0056; Chloroplast thylakoid; LOCATION	reviewed:6397; annotated:585317
SL-0059	Chlorosome	Cellular component	GO:0046858:chlorosome		The chlorosome is a photosynthetic light-harvesting complex found in anoxygenic green bacteria. Chlorosomes are flattened ellipsoidal organelles appressed to the cytoplasmic face of the cell membrane. They typically contain highly aggregated bacteriochlorophyll c, d, or e (Bchl), a small amount of Bchl a, carotenoids, quinones, and occasionally wax esters. The chlorosome envelope of green sulfur bacteria is an asymmetric membrane containing galactolipids with the galactosyl moieties exposed on the outer surface. The farnesyl tails of the BChl molecules within the chlorosome probably comprise the inner leaflet of this membrane.	KW-0151			PubMed=16866355,  DOI=10.1021/bi060776y		Chlorosome		reviewed:17; annotated:116
SL-0060	Chlorosome envelope	Cellular component	GO:0033105:chlorosome envelope		The chlorosome envelope of green sulfur bacteria is an asymmetric membrane containing galactolipids with the galactosyl moieties exposed on the outer surface. The farnesyl tails of the BChl c molecules within the chlorosome probably comprise the inner leaflet of this membrane.		Chlorosomal envelope				Chlorosome, chlorosome envelope	SL-0059; Chlorosome; LOCATION	reviewed:13; annotated:116
SL-0061	Chromaffin granule	Cellular component	GO:0042583:chromaffin granule	SL-0244; Secretory vesicle; LOCATION	A chromaffin granule is a specialized secretory vesicle characteristic of chromaffin cells.						Cytoplasmic vesicle, secretory vesicle, chromaffin granule		reviewed:76; annotated:5345
SL-0062	Chromaffin granule membrane	Cellular component	GO:0042584:chromaffin granule membrane	SL-0245; Secretory vesicle membrane; LOCATION	The chromaffin granule membrane is the membrane surrounding a chromaffin granule, a specialized secretory vesicle characteristic of chromaffin cells.		Chromaffin granular membrane				Cytoplasmic vesicle, secretory vesicle, chromaffin granule membrane	SL-0061; Chromaffin granule; LOCATION	reviewed:36; annotated:4127
SL-0063	Chromoplast	Cellular component	GO:0009509:chromoplast	SL-0209; Plastid; LOCATION	A chromoplast is a plastid containing pigments other than chlorophyll. Found in flower, petals and fruit.						Plastid, chromoplast		reviewed:35; annotated:1399
SL-0064	Chromoplast membrane	Cellular component	GO:0046862:chromoplast membrane	SL-0213; Plastid membrane; LOCATION	The membrane surrounding the chromoplast. Also used when it is not clear in which chromoplast membrane (outer membrane, inner membrane or thylakoid) a protein is found.		Chromoplastic membrane				Plastid, chromoplast membrane	SL-0063; Chromoplast; LOCATION	reviewed:2; annotated:0
SL-0065	Chromoplast stroma	Cellular component	GO:0009575:chromoplast stroma		The chromoplast stroma is the space enclosed by the chromoplast double membrane but excluding the photosynthetic material. The chromoplast is a plastid containing pigments other than chlorophyll.		Chromoplastic stroma				Plastid, chromoplast stroma	SL-0063; Chromoplast; LOCATION	reviewed:3; annotated:0
SL-0066	Cilium	Cellular component	GO:0005929:cilium	SL-0280; Cell projection; LOCATION	The cilium is a cell surface projection found at the surface of a large proportion of eukaryotic cells. The two basic types of cilia, motile (alternatively named flagella) and non-motile, collectively perform a wide variety of functions broadly encompassing cell/fluid movement and sensory perception. Their most prominent structural component is the axoneme which consists of nine doublet microtubules, with all motile cilia - except those at the embryonic node - containing an additional central pair of microtubules. The axonemal microtubules of all cilia nucleate and extend from a basal body, a centriolar structure most often composed of a radial array of nine triplet microtubules. In most cells, basal bodies associate with cell membranes and cilia are assembled as 'extracellular' membrane-enclosed compartments.		Cilia				Cell projection, cilium		reviewed:2489; annotated:263243
SL-0067	cis-Golgi network	Cellular component	GO:0005801:cis-Golgi network		The cis-Golgi network is an extensive tubulovesicular network bound to the cis face of the Golgi stack and which function is to receive process the biosynthetic output from the ER.		CGN, cis-Golgi, cis-Golgi complex, Golgi cis-face			The CGN is not the cis cisternae of the Golgi stack. Compartment specific marker: GOLGA2/GM130.	Golgi apparatus, cis-Golgi network	SL-0132; Golgi apparatus; LOCATION	reviewed:345; annotated:36487
