Subcellular location ID	Name	Category	Gene Ontologies	Is a	Description	Keyword	Synonyms	Links	References	Note	Content	Is part of	Statistics
SL-0313	Sarcomere	Cellular component	GO:0030017:sarcomere		The sarcomere represents the basal contractile unit of striated muscles. A single myofibril is composed of these short structural units arranged end to end, which contract due to the relative sliding of thick (myosin) over thin (actin) filaments. The mammalian sarcomere is ~ 2 mm in length, and can shorten to ~ 70% of its original length during contraction. Structural features of the sarcomere include bundles of parallel thick and thin filaments assembled by two transverse structures, the Z lines and M lines. The Z lines and the M lines are connected by transverse filaments to the sarcolemma or to the neighboring myofibrils. Sarcomeres give to skeletal and cardiac muscles their striated appearance with I bands surrounding the Z lines, followed by A bands. The A bands contain a paler region called the H zone and in the middle the M line.			http://www.sarcomere.org/			Cytoplasm, myofibril, sarcomere	SL-0312; Myofibril; LOCATION	reviewed:355; annotated:20026
SL-0314	Z line	Cellular component	GO:0030018:Z disc		Z-disks are the lateral boundaries of a single sarcomere. In electron micrographs of cross striated muscle the Z line appears as a series of dark lines. They represent a key interface between the contractile apparatus and the cytoskeleton. The Z line (from the German "Zwischen") largely consists of alpha-actinin homodimers organized in an antiparallel fashion, thereby providing a backbone for the insertions of actin-based thin filaments, as well as titin and nebulin/nebulette. Z line of neighbouring sarcomeres are aligned in parallel and connected via the intermediate filament protein desmin. They maintain the actin filaments in a tetragonal lattice.		Z-band, Z bodies, Z body, Z disc, Z-disc, Z disk, Z-disk, Z-line				Cytoplasm, myofibril, sarcomere, Z line	SL-0478; I band; LOCATION	reviewed:185; annotated:9282
SL-0315	M line	Cellular component	GO:0031430:M band		In electron micrographs of the sarcomere, the M line appears as a series of parallel electron-dense lines in the central zone of the A band impliing that the M line is needed for the regular packing of the thick filaments. The M line maintains the myosin filaments in a hexagonal lattice.		M band, M-band, M-line	http://www.sarcomere.org/			Cytoplasm, myofibril, sarcomere, M line	SL-0477; H zone; LOCATION	reviewed:68; annotated:664
SL-0316	Acidocalcisome lumen	Cellular component	GO:0033985:acidocalcisome lumen		The acidocalcisome compartment bounded by the acidocalcisomal membrane.		Acidocalcisomal lumen				Acidocalcisome lumen	SL-0002; Acidocalcisome; LOCATION	reviewed:0; annotated:0
SL-0317	Aleurone grain lumen	Cellular component	GO:0034422:aleurone grain lumen	SL-0270; Vacuole lumen; LOCATION	The aleurone grain compartment bounded by the aleurone grain membrane.		Protein body lumen				Vacuole, aleurone grain lumen	SL-0010; Aleurone grain; LOCATION	reviewed:0; annotated:0
SL-0318	Autophagosome lumen	Cellular component	GO:0034423:autophagosome lumen	SL-0325; Cytoplasmic vesicle lumen; LOCATION	The autophagosomal compartment bounded by the autophagosomal membrane.		Autophagic vacuolar lumen, Autophagic vacuole lumen, Autophagosomal lumen				Cytoplasmic vesicle, autophagosome lumen	SL-0023; Autophagosome; LOCATION	reviewed:2; annotated:0
SL-0319	Clathrin-coated vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	The clathrin-coated vesicle compartment bounded by the clathrin-coated vesicle membrane.		Clathrin-coated vesicular lumen				Cytoplasmic vesicle, clathrin-coated vesicle lumen	SL-0070; Clathrin-coated vesicle; LOCATION	reviewed:0; annotated:0
SL-0320	Contractile vacuole lumen	Cellular component		SL-0270; Vacuole lumen; LOCATION	The contractile vacuole compartment bounded by the contractile vacuole membrane.		Contractile vacuolar lumen				Contractile vacuole lumen	SL-0073; Contractile vacuole; LOCATION	reviewed:0; annotated:0
SL-0321	COPI-coated vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	The COPI-coated vesicle compartment bounded by the COPI-coated vesicle membrane.						Cytoplasmic vesicle, COPI-coated vesicle lumen	SL-0075; COPI-coated vesicle; LOCATION	reviewed:0; annotated:0
SL-0322	COPII-coated vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	The COPII-coated vesicle compartment bounded by the COPII-coated vesicle membrane.		Coat protein complexes II lumen, ER to Golgi transport vesicle lumen				Cytoplasmic vesicle, COPII-coated vesicle lumen	SL-0077; COPII-coated vesicle; LOCATION	reviewed:0; annotated:0
SL-0323	Cvt vesicle lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	The cvt vesicle compartment bounded by the cvt vesicle membrane.						Cytoplasmic vesicle, cvt vesicle lumen	SL-0080; Cvt vesicle; LOCATION	reviewed:0; annotated:0
SL-0324	Cytoplasmic granule lumen	Cellular component			The cytoplasmic granule compartment bounded by the cytoplasmic granule membrane.						Cytoplasmic granule lumen	SL-0281; Cytoplasmic granule; LOCATION	reviewed:6; annotated:0
SL-0325	Cytoplasmic vesicle lumen	Cellular component	GO:0060205:cytoplasmic vesicle lumen		The cytoplasmic vesicle compartment bounded by the cytoplasmic vesicle membrane.						Cytoplasmic vesicle lumen	SL-0088; Cytoplasmic vesicle; LOCATION	reviewed:125; annotated:4830
SL-0326	Endoplasmic reticulum-Golgi intermediate compartment lumen	Cellular component			The ERGIC compartment bounded by the ERGIC membrane.		ERGIC lumen, ER-Golgi intermediate compartment lumen, IC lumen, Intermediate compartment lumen, Vesiculo-tubular cluster lumen, VTC lumen				Endoplasmic reticulum-Golgi intermediate compartment lumen	SL-0098; Endoplasmic reticulum-Golgi intermediate compartment; LOCATION	reviewed:3; annotated:0
SL-0327	Endosome lumen	Cellular component	GO:0031904:endosome lumen		The endosomal compartment bounded by the endosomal membrane.		Endosomal lumen				Endosome lumen	SL-0101; Endosome; LOCATION	reviewed:24; annotated:871
SL-0328	Esterosome lumen	Cellular component	GO:0034467:esterosome lumen	SL-0325; Cytoplasmic vesicle lumen; LOCATION	The esterosomal compartment bounded by the esterosomal membrane.		Esterosomal lumen				Cytoplasmic vesicle, esterosome lumen	SL-0109; Esterosome; LOCATION	reviewed:0; annotated:0
SL-0329	Etioplast membrane	Cellular component	GO:0034426:etioplast membrane	SL-0213; Plastid membrane; LOCATION	The membrane surrounding the etioplast, a plastid found in plants grown in the dark. Also used when it is not clear in which etioplast membrane a protein is found.						Plastid, etioplast membrane	SL-0110; Etioplast; LOCATION	reviewed:13; annotated:1282
SL-0330	Etioplast stroma	Cellular component	GO:0009578:etioplast stroma	SL-0215; Plastid stroma; LOCATION	The etioplast stroma is the space enclosed by the double membrane of an etioplast but excluding the prothylakoid space. It contains the etioplast DNA.						Plastid, etioplast stroma	SL-0110; Etioplast; LOCATION	reviewed:0; annotated:0
SL-0331	Gas vesicle lumen	Cellular component			The gas vesicle compartment bounded by the protein shell of the gas vesicle.						Gas vesicle lumen	SL-0125; Gas vesicle; LOCATION	reviewed:0; annotated:0
SL-0332	Glycosome matrix	Cellular component	GO:0034468:glycosome lumen	SL-0202; Peroxisome matrix; LOCATION	The glycosomal compartment bounded by the membrane of the glycosome, a specialized peroxisome found in all members of the protist order Kinetoplastida examined.		Glycosomal lumen, Glycosomal matrix, Glycosome lumen				Glycosome matrix	SL-0129; Glycosome; LOCATION	reviewed:0; annotated:0
SL-0333	Glyoxysome matrix	Cellular component	GO:0031908:glyoxysomal lumen	SL-0202; Peroxisome matrix; LOCATION	The glyoxysomal compartment bounded by the membrane of the glyoxysome, a plant peroxisome, especially found in germinating seeds, involved in the breakdown and conversion of fatty acids to acetyl-CoA for the glyoxylate bypass.		Glyoxysomal lumen, Glyoxysomal matrix, Glyoxysome lumen				Glyoxysome matrix	SL-0131; Glyoxysome; LOCATION	reviewed:0; annotated:0
SL-0334	Golgi stack lumen	Cellular component	GO:0034469:Golgi stack lumen	SL-0133; Golgi apparatus lumen; LOCATION	The Golgi stack compartment bounded by the membrane of the Golgi stack.		Dictyosome lumen, Golgi bodies lumen, Golgi body lumen				Golgi apparatus, Golgi stack lumen	SL-0135; Golgi stack; LOCATION	reviewed:0; annotated:0
SL-0335	Hydrogenosome lumen	Cellular component	GO:0034492:hydrogenosome lumen		The hydrogenosomal compartment bounded by the membrane of the hydrogenosome, a redox organelle found in anaerobic unicellular eukaryotes.		Hydrogenosomal lumen				Hydrogenosome lumen	SL-0145; Hydrogenosome; LOCATION	reviewed:3; annotated:0
SL-0336	Late endosome lumen	Cellular component	GO:0031906:late endosome lumen	SL-0327; Endosome lumen; LOCATION	The late endosomal comaprtment bounded by the membrane of the late endosome.		Late endosomal lumen				Late endosome lumen	SL-0152; Late endosome; LOCATION	reviewed:1; annotated:0
SL-0337	Early endosome lumen	Cellular component	GO:0031905:early endosome lumen	SL-0327; Endosome lumen; LOCATION	The early endosomal compartment bounded by the membrane of early endosomes, which form a tubulovesicular network spread throughout the cortical cytoplasm of the cell.		Early endosomal lumen				Early endosome lumen	SL-0094; Early endosome; LOCATION	reviewed:0; annotated:0
SL-0338	Melanosome lumen	Cellular component	GO:0034493:melanosome lumen		The melanosomal compartment bounded by the membrane surrounding a melanosome.		Melanosomal lumen				Melanosome lumen	SL-0161; Melanosome; LOCATION	reviewed:1; annotated:0
SL-0339	Microneme lumen	Cellular component	GO:0034494:microneme lumen	SL-0347; Secretory vesicle lumen; LOCATION	The micronemal compartment bounded by the membrane of a microneme.		Micronemal lumen				Cytoplasmic vesicle, secretory vesicle, microneme lumen	SL-0163; Microneme; LOCATION	reviewed:2; annotated:0
SL-0340	Multivesicular body lumen	Cellular component		SL-0327; Endosome lumen; LOCATION	The multivesicular body compartment bounded by the membrane of the multivesicular bodies.		Corpuscula multivesicularis lumen, ECV lumen, Endosomal carrier vesicle lumen, Multivesicular bodies lumen, MVB lumen				Endosome, multivesicular body lumen	SL-0174; Multivesicular body; LOCATION	reviewed:6; annotated:871
SL-0341	Parasitophorous vacuole lumen	Cellular component			The parasitophorous vacuole compartment bounded by the membrane of the parasitophorous vacuole.		Parasitophorous vacuolar lumen				Parasitophorous vacuole lumen	SL-0194; Parasitophorous vacuole; LOCATION	reviewed:20; annotated:0
SL-0342	Phagosome lumen	Cellular component		SL-0325; Cytoplasmic vesicle lumen; LOCATION	The phagosomal compartment bounded by the membrane a phagosome.		Phagocytic vesicle lumen, Phagosomal lumen				Cytoplasmic vesicle, phagosome lumen	SL-0206; Phagosome; LOCATION	reviewed:1; annotated:0
SL-0343	Prevacuolar compartment lumen	Cellular component			The PVC compartment bounded by the membrane of the PVC.		PVC lumen				Prevacuolar compartment lumen	SL-0223; Prevacuolar compartment; LOCATION	reviewed:0; annotated:0
